occupation_id,n_revealed,strategy,digits,method,prior,p@5,p@10,mrr
37,5,core_first,1,random,0.10617283950617284,0.0,0.1,0.1
37,5,core_first,1,popular_group,0.10617283950617284,0.0,0.0,0.007142857142857143
37,5,core_first,1,raw_distance,0.10617283950617284,0.8,0.4,1.0
37,5,core_first,1,raw_correlation,0.10617283950617284,0.4,0.2,1.0
37,5,core_first,1,mf_latent,0.10617283950617284,0.0,0.0,0.06666666666666667
37,5,core_first,1,mf_impute,0.10617283950617284,0.0,0.0,0.07692307692307693
37,5,core_first,2,random,0.02345679012345679,0.0,0.0,0.016666666666666666
37,5,core_first,2,popular_group,0.02345679012345679,0.0,0.0,0.0016501650165016502
37,5,core_first,2,raw_distance,0.02345679012345679,0.0,0.0,0.05
37,5,core_first,2,raw_correlation,0.02345679012345679,0.0,0.0,0.0625
37,5,core_first,2,mf_latent,0.02345679012345679,0.0,0.0,0.03225806451612903
37,5,core_first,2,mf_impute,0.02345679012345679,0.0,0.0,0.07692307692307693
53,5,core_first,1,random,0.10617283950617284,0.4,0.2,0.3333333333333333
53,5,core_first,1,popular_group,0.10617283950617284,0.0,0.0,0.007142857142857143
53,5,core_first,1,raw_distance,0.10617283950617284,0.2,0.2,1.0
53,5,core_first,1,raw_correlation,0.10617283950617284,0.0,0.4,0.14285714285714285
53,5,core_first,1,mf_latent,0.10617283950617284,0.2,0.2,0.25
53,5,core_first,1,mf_impute,0.10617283950617284,0.0,0.0,0.014925373134328358
53,5,core_first,2,random,0.02345679012345679,0.2,0.1,0.25
53,5,core_first,2,popular_group,0.02345679012345679,0.0,0.0,0.0016501650165016502
53,5,core_first,2,raw_distance,0.02345679012345679,0.0,0.1,0.1
53,5,core_first,2,raw_correlation,0.02345679012345679,0.0,0.0,0.02631578947368421
53,5,core_first,2,mf_latent,0.02345679012345679,0.0,0.0,0.03333333333333333
53,5,core_first,2,mf_impute,0.02345679012345679,0.0,0.0,0.014285714285714285
58,5,core_first,1,random,0.10617283950617284,0.0,0.0,0.08333333333333333
58,5,core_first,1,popular_group,0.10617283950617284,0.0,0.0,0.007142857142857143
58,5,core_first,1,raw_distance,0.10617283950617284,0.4,0.2,0.5
58,5,core_first,1,raw_correlation,0.10617283950617284,0.0,0.4,0.14285714285714285
58,5,core_first,1,mf_latent,0.10617283950617284,0.0,0.0,0.009708737864077669
58,5,core_first,1,mf_impute,0.10617283950617284,0.0,0.0,0.006756756756756757
58,5,core_first,2,random,0.02345679012345679,0.0,0.0,0.016129032258064516
58,5,core_first,2,popular_group,0.02345679012345679,0.0,0.0,0.0016501650165016502
58,5,core_first,2,raw_distance,0.02345679012345679,0.4,0.2,0.5
58,5,core_first,2,raw_correlation,0.02345679012345679,0.0,0.0,0.02631578947368421
58,5,core_first,2,mf_latent,0.02345679012345679,0.0,0.0,0.009708737864077669
58,5,core_first,2,mf_impute,0.02345679012345679,0.0,0.0,0.006756756756756757
67,5,core_first,1,random,0.10617283950617284,0.6,0.4,0.3333333333333333
67,5,core_first,1,popular_group,0.10617283950617284,0.0,0.0,0.007142857142857143
67,5,core_first,1,raw_distance,0.10617283950617284,0.4,0.2,0.5
67,5,core_first,1,raw_correlation,0.10617283950617284,0.0,0.4,0.14285714285714285
67,5,core_first,1,mf_latent,0.10617283950617284,0.0,0.0,0.01818181818181818
67,5,core_first,1,mf_impute,0.10617283950617284,0.0,0.0,0.027777777777777776
67,5,core_first,2,random,0.011111111111111112,0.0,0.0,0.014285714285714285
67,5,core_first,2,popular_group,0.011111111111111112,0.0,0.0,0.0016750418760469012
67,5,core_first,2,raw_distance,0.011111111111111112,0.0,0.0,0.017241379310344827
67,5,core_first,2,raw_correlation,0.011111111111111112,0.0,0.0,0.017543859649122806
67,5,core_first,2,mf_latent,0.011111111111111112,0.0,0.0,0.008264462809917356
67,5,core_first,2,mf_impute,0.011111111111111112,0.0,0.0,0.027777777777777776
70,5,core_first,1,random,0.10617283950617284,0.0,0.1,0.14285714285714285
70,5,core_first,1,popular_group,0.10617283950617284,0.0,0.0,0.007142857142857143
70,5,core_first,1,raw_distance,0.10617283950617284,0.8,0.4,0.5
70,5,core_first,1,raw_correlation,0.10617283950617284,0.8,0.4,1.0
70,5,core_first,1,mf_latent,0.10617283950617284,0.2,0.2,0.5
70,5,core_first,1,mf_impute,0.10617283950617284,0.0,0.0,0.010752688172043012
70,5,core_first,2,random,0.03333333333333333,0.0,0.1,0.14285714285714285
70,5,core_first,2,popular_group,0.03333333333333333,0.0,0.0,0.0017605633802816902
70,5,core_first,2,raw_distance,0.03333333333333333,0.2,0.1,0.2
70,5,core_first,2,raw_correlation,0.03333333333333333,0.2,0.1,0.25
70,5,core_first,2,mf_latent,0.03333333333333333,0.2,0.2,0.5
70,5,core_first,2,mf_impute,0.03333333333333333,0.0,0.0,0.010752688172043012
72,5,core_first,1,random,0.10617283950617284,0.2,0.1,0.3333333333333333
72,5,core_first,1,popular_group,0.10617283950617284,0.0,0.0,0.007142857142857143
72,5,core_first,1,raw_distance,0.10617283950617284,0.2,0.1,0.5
72,5,core_first,1,raw_correlation,0.10617283950617284,0.0,0.4,0.14285714285714285
72,5,core_first,1,mf_latent,0.10617283950617284,0.0,0.1,0.1
72,5,core_first,1,mf_impute,0.10617283950617284,0.0,0.0,0.04
72,5,core_first,2,random,0.03333333333333333,0.0,0.0,0.024390243902439025
72,5,core_first,2,popular_group,0.03333333333333333,0.0,0.0,0.0017605633802816902
72,5,core_first,2,raw_distance,0.03333333333333333,0.0,0.0,0.06666666666666667
72,5,core_first,2,raw_correlation,0.03333333333333333,0.0,0.0,0.015151515151515152
72,5,core_first,2,mf_latent,0.03333333333333333,0.0,0.0,0.0625
72,5,core_first,2,mf_impute,0.03333333333333333,0.0,0.0,0.022727272727272728
77,5,core_first,1,random,0.10617283950617284,0.0,0.1,0.16666666666666666
77,5,core_first,1,popular_group,0.10617283950617284,0.0,0.0,0.007142857142857143
77,5,core_first,1,raw_distance,0.10617283950617284,0.0,0.1,0.125
77,5,core_first,1,raw_correlation,0.10617283950617284,0.0,0.0,0.05555555555555555
77,5,core_first,1,mf_latent,0.10617283950617284,0.4,0.3,0.5
77,5,core_first,1,mf_impute,0.10617283950617284,0.0,0.2,0.125
77,5,core_first,2,random,0.03333333333333333,0.0,0.1,0.16666666666666666
77,5,core_first,2,popular_group,0.03333333333333333,0.0,0.0,0.0017605633802816902
77,5,core_first,2,raw_distance,0.03333333333333333,0.0,0.0,0.07692307692307693
77,5,core_first,2,raw_correlation,0.03333333333333333,0.0,0.0,0.05555555555555555
77,5,core_first,2,mf_latent,0.03333333333333333,0.2,0.1,0.25
77,5,core_first,2,mf_impute,0.03333333333333333,0.0,0.0,0.07142857142857142
87,5,core_first,1,random,0.10617283950617284,0.0,0.2,0.16666666666666666
87,5,core_first,1,popular_group,0.10617283950617284,0.0,0.0,0.007142857142857143
87,5,core_first,1,raw_distance,0.10617283950617284,0.0,0.1,0.125
87,5,core_first,1,raw_correlation,0.10617283950617284,0.0,0.0,0.05263157894736842
87,5,core_first,1,mf_latent,0.10617283950617284,0.0,0.0,0.023255813953488372
87,5,core_first,1,mf_impute,0.10617283950617284,0.0,0.0,0.023809523809523808
87,5,core_first,2,random,0.03333333333333333,0.0,0.0,0.05555555555555555
87,5,core_first,2,popular_group,0.03333333333333333,0.0,0.0,0.0017605633802816902
87,5,core_first,2,raw_distance,0.03333333333333333,0.0,0.0,0.07692307692307693
87,5,core_first,2,raw_correlation,0.03333333333333333,0.0,0.0,0.04
87,5,core_first,2,mf_latent,0.03333333333333333,0.0,0.0,0.018518518518518517
87,5,core_first,2,mf_impute,0.03333333333333333,0.0,0.0,0.01694915254237288
106,5,core_first,1,random,0.1259259259259259,0.0,0.1,0.16666666666666666
106,5,core_first,1,popular_group,0.1259259259259259,0.0,0.0,0.00641025641025641
106,5,core_first,1,raw_distance,0.1259259259259259,0.2,0.5,1.0
106,5,core_first,1,raw_correlation,0.1259259259259259,0.0,0.0,0.010752688172043012
106,5,core_first,1,mf_latent,0.1259259259259259,0.4,0.6,1.0
106,5,core_first,1,mf_impute,0.1259259259259259,0.2,0.2,0.25
106,5,core_first,2,random,0.05432098765432099,0.0,0.0,0.06666666666666667
106,5,core_first,2,popular_group,0.05432098765432099,0.0,0.0,0.01
106,5,core_first,2,raw_distance,0.05432098765432099,0.2,0.4,1.0
106,5,core_first,2,raw_correlation,0.05432098765432099,0.0,0.0,0.010309278350515464
106,5,core_first,2,mf_latent,0.05432098765432099,0.4,0.4,1.0
106,5,core_first,2,mf_impute,0.05432098765432099,0.2,0.1,0.25
114,5,core_first,1,random,0.1259259259259259,0.2,0.2,0.25
114,5,core_first,1,popular_group,0.1259259259259259,0.0,0.0,0.00641025641025641
114,5,core_first,1,raw_distance,0.1259259259259259,0.0,0.5,0.16666666666666666
114,5,core_first,1,raw_correlation,0.1259259259259259,0.0,0.0,0.010752688172043012
114,5,core_first,1,mf_latent,0.1259259259259259,0.6,0.6,1.0
114,5,core_first,1,mf_impute,0.1259259259259259,0.0,0.1,0.1111111111111111
114,5,core_first,2,random,0.05432098765432099,0.2,0.2,0.25
114,5,core_first,2,popular_group,0.05432098765432099,0.0,0.0,0.01
114,5,core_first,2,raw_distance,0.05432098765432099,0.0,0.4,0.16666666666666666
114,5,core_first,2,raw_correlation,0.05432098765432099,0.0,0.0,0.010309278350515464
114,5,core_first,2,mf_latent,0.05432098765432099,0.6,0.6,1.0
114,5,core_first,2,mf_impute,0.05432098765432099,0.0,0.1,0.1111111111111111
133,5,core_first,1,random,0.1259259259259259,0.0,0.1,0.1111111111111111
133,5,core_first,1,popular_group,0.1259259259259259,0.0,0.0,0.00641025641025641
133,5,core_first,1,raw_distance,0.1259259259259259,0.0,0.4,0.14285714285714285
133,5,core_first,1,raw_correlation,0.1259259259259259,0.0,0.0,0.010752688172043012
133,5,core_first,1,mf_latent,0.1259259259259259,0.6,0.4,1.0
133,5,core_first,1,mf_impute,0.1259259259259259,0.0,0.1,0.1111111111111111
133,5,core_first,2,random,0.05432098765432099,0.0,0.1,0.1111111111111111
133,5,core_first,2,popular_group,0.05432098765432099,0.0,0.0,0.01
