skill,doc_freq,descriptor_id,descriptor_name,cosine,match_type,mapped
.net,147,179, Active Learning,0.3271,unmapped,False
12 hour shifts,52,140,Scheduling Work and Activities,0.4018,unmapped,False
12hour shifts,116,154,Staffing ,0.3056,unmapped,False
3d modeling,102,150,Spatial Visualization,0.3453,unmapped,False
401(k),57,154,Staffing ,0.1836,unmapped,False
401(k) plan,59,123,Planning and Organizing,0.1675,unmapped,False
401k,54,154,Staffing ,0.2211,unmapped,False
5+ years of experience,51,167,Training and Teaching ,0.4619,unmapped,False
5s,78,0, Adaptability,0.2099,unmapped,False
a/b testing,182,132,Quality Control Testing,0.3248,lexical,True
ability to climb reach bend and lift up to 50 pounds,102,153,Speed of Limb Movement,0.3802,unmapped,False
ability to follow instructions,74,74,Instructing,0.5379,unmapped,False
ability to handle stress,66,157,Stress Tolerance,0.6678,semantic,True
ability to lift heavy objects,157,156,Static Strength,0.5215,unmapped,False
ability to lift up to 50 pounds,59,153,Speed of Limb Movement,0.3857,unmapped,False
ability to meet deadlines,417,166,Time Management,0.5408,unmapped,False
ability to multitask,150,101,Multitasking,0.791,semantic,True
ability to stand for long periods,74,6,Arm-Hand Steadiness,0.3996,unmapped,False
ability to stand for long periods of time,163,153,Speed of Limb Movement,0.4086,unmapped,False
ability to travel,289,153,Speed of Limb Movement,0.4682,unmapped,False
ability to work 40 hours per week,65,140,Scheduling Work and Activities,0.3632,unmapped,False
ability to work as part of a team,101,30,Coordinating the Work and Activities of Others,0.5849,semantic,True
ability to work flexible hours,112,166,Time Management,0.4823,unmapped,False
ability to work in a fastpaced environment,672,166,Time Management,0.3294,unmapped,False
ability to work in a team,157,30,Coordinating the Work and Activities of Others,0.5209,unmapped,False
ability to work in a team environment,73,30,Coordinating the Work and Activities of Others,0.5296,unmapped,False
ability to work independently,761,146,Social Orientation,0.4881,unmapped,False
ability to work independently and as part of a team,510,30,Coordinating the Work and Activities of Others,0.555,semantic,True
ability to work night and weekend shifts,118,140,Scheduling Work and Activities,0.4137,unmapped,False
ability to work under pressure,639,156,Static Strength,0.4763,unmapped,False
academia,370,167,Training and Teaching ,0.4649,unmapped,False
access,102,154,Staffing ,0.3039,unmapped,False
access control,124,109,Operation and Control,0.4079,unmapped,False
accessibility,474,0, Adaptability,0.4583,unmapped,False
accessibility accommodations,52,0, Adaptability,0.4151,unmapped,False
accessibility for ontarians with disabilities act,90,102,Near Vision,0.2545,unmapped,False
accessibility for ontarians with disabilities act (aoda),53,102,Near Vision,0.2536,unmapped,False
accommodation,232,66,Hospitality,0.4833,unmapped,False
accommodation for disabilities,73,66,Hospitality,0.3222,unmapped,False
accommodations,73,66,Hospitality,0.3855,unmapped,False
