group,n,mae,mae_lo,mae_hi,r2
Ontario,109,5.704169904865239,4.8151978434223945,6.69790044585127,0.923687627219358
Quebec,102,4.393139499650184,3.6625411743085006,5.146309173070068,0.8457473142954082
Alberta,94,2.802959875535852,2.3765554130738575,3.228801323529017,0.8337353004185024
British Columbia,108,2.746521333733495,2.2897816671737385,3.2384066493411363,0.8397983616984938
Nova Scotia,104,1.511778206822196,1.2754641825959794,1.7759747873442004,0.36763952197079663
Manitoba,90,1.4413599984978118,1.1490803017772313,1.7426837982844798,0.5365059591159909
New Brunswick,107,1.386305053313708,1.1911630858905895,1.6006653510679711,0.3481012041258834
Saskatchewan,84,1.3703702542379288,1.131774601192091,1.625985257334089,0.39443122253053686
Newfoundland and Labrador,74,1.3087324221992431,1.079658172848432,1.5446461840518872,0.478163245641148
Prince Edward Island,55,0.6306440629563922,0.5121590265925715,0.7458904379418343,-0.03883745697701646
