group,n,mae,mae_lo,mae_hi,r2
Prince Edward Island,301,14674.292260136212,13369.104760005082,15984.897066950565,0.23836301270489402
New Brunswick,1404,13906.423127204629,13330.174976846196,14456.462852279312,0.32894925234002526
Nova Scotia,1615,13797.168977189638,13281.156882689935,14334.249199469587,0.35795910768347183
Newfoundland and Labrador,1127,13527.005054558871,12914.887774434823,14144.685991417375,0.37643001268347576
Alberta,6096,13359.721721009726,13068.33747467748,13629.950381491006,0.4850634579445344
Ontario,20909,12918.873263622409,12770.769690895417,13067.954518238936,0.49785650595208353
Saskatchewan,1715,12850.025714920941,12353.994382471667,13345.22910001446,0.43880075411406083
Quebec,12071,12811.591612912418,12628.36786232291,13000.990372227507,0.4748539052907895
British Columbia,7716,12760.259597262118,12519.005459718273,12993.13959152022,0.4954630621029512
Manitoba,2119,12640.71646114269,12217.911848823149,13068.968524467862,0.4519558124222294
